PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal,CM_PP,CM_PR,CM_OR,CM_TW,TMICE|ACT_PP,TMICE|ACT_PR,TMICE|ACT_OR,TMICE|ACT_TW,EEI_PP,EEI_PR,EEI_OR,EEI_TW,QST_PP,QST_PR,QST_OR,QST_TW,SAICE|AATP_PP,SAICE|AATP_PR,SAICE|AATP_OR,SAICE|AATP_TW,TEI_PP,TEI_PR,TEI_OR,TEI_TW,PW_PP,PW_PR,PW_OR,PW_TW,ATE|G_PP,ATE|G_PR,ATE|G_OR,ATE|G_TW,SDI_PP,SDI_PR,SDI_OR,SDI_TW,DAHS_PP,DAHS_PR,DAHS_OR,DAHS_TW
12345678Z,COLNAME,CIVI,1065,0,1065,66,0,0,23,63,0,0,0,51,0,38,23,60,0,44,43,60,0,0,22,65,0,44,23,0,0,44,95,62,0,0,0,52,0,38,20,66,0,40,23
12345678Z,COLNAME,CIVI,988,0,988,79,0,0,21,66,0,0,0,46,0,35,21,65,0,38,41,43,0,0,16,57,0,38,20,0,0,40,90,63,0,0,0,42,0,33,19,58,0,35,22
12345678Z,COLNAME,CIVI,926,0,926,70,0,0,20,56,0,0,0,40,0,30,20,67,0,28,23,70,0,0,17,57,0,30,18,0,0,44,89,58,0,0,0,41,0,28,14,52,0,35,19
12345678Z,COLNAME,CIVI,886,0,886,68,0,0,16,53,0,0,0,70,0,23,17,65,0,29,23,40,0,0,16,53,0,28,12,0,0,42,93,56,0,0,0,40,0,25,12,51,0,36,18
12345678Z,COLNAME,CIVI,873,0,873,74,0,0,20,61,0,0,0,50,0,28,17,57,0,30,25,40,0,0,15,50,0,32,18,0,0,45,88,47,0,0,0,42,0,28,12,46,0,30,18
12345678Z,COLNAME,CIVI,918,0,918,75,0,0,16,58,0,0,0,63,0,30,17,69,0,29,25,45,0,0,16,53,0,30,12,0,0,43,93,58,0,0,0,51,0,26,12,54,0,25,18
12345678Z,COLNAME,CIVI,922,0,922,61,0,0,21,64,0,0,0,50,0,33,19,66,0,39,35,40,0,0,17,49,0,36,20,0,0,41,84,47,0,0,0,45,0,30,15,64,0,28,18
12345678Z,COLNAME,CIVI,922,0,922,58,0,0,21,54,0,0,0,50,0,34,19,62,0,38,30,50,0,0,15,60,0,34,16,0,0,43,87,59,0,0,0,42,0,27,15,60,0,29,19
12345678Z,COLNAME,CIVI,1045,0,1045,71,0,0,21,66,0,0,0,60,0,32,22,68,0,41,39,52,0,0,16,73,0,36,20,0,0,42,90,67,0,0,0,54,0,34,17,72,0,32,20
12345678Z,COLNAME,CIVI,918,0,918,53,0,0,22,56,0,0,0,56,0,35,20,58,0,25,24,46,0,0,23,66,0,32,15,0,0,35,95,65,0,0,0,40,0,30,18,51,0,35,18
12345678Z,COLNAME,CIVI,899,1,900,62,0,0,20,51,0,0,0,50,0,32,19,56,0,28,31,50,0,0,20,50,0,36,18,0,0,43,85,52,0,0,0,40,0,35,19,50,0,34,18
12345678Z,COLNAME,CIVI,1012,0,1012,64,0,0,20,63,0,0,0,51,0,40,23,72,0,35,40,40,0,0,22,65,0,38,19,0,0,35,95,66,0,0,0,47,0,36,20,65,0,36,20
12345678Z,COLNAME,CIVI,1024,0,1024,69,0,0,22,65,0,0,0,52,0,38,23,64,0,40,38,50,0,0,21,65,0,36,16,0,0,35,95,66,0,0,0,49,0,39,21,66,0,35,19
12345678Z,COLNAME,CIVI,941,0,941,73,0,0,19,61,0,0,0,53,0,28,20,68,0,32,30,40,0,0,17,63,0,38,18,0,0,40,85,59,0,0,0,40,0,28,20,55,0,35,19
12345678Z,COLNAME,CIVI,999,0,999,72,0,0,22,64,0,0,0,55,0,32,20,71,0,40,38,51,0,0,18,66,0,38,20,0,0,35,95,56,0,0,0,41,0,29,18,63,0,36,19
12345678Z,COLNAME,CIVI,1073,0,1073,77,0,0,23,63,0,0,0,67,0,38,23,64,0,38,40,63,0,0,21,61,0,40,20,0,0,45,90,77,0,0,0,40,0,36,17,70,0,38,22
12345678Z,COLNAME,CIVI,1014,0,1014,74,0,0,21,65,0,0,0,53,0,38,20,64,0,41,39,50,0,0,19,64,0,42,21,0,0,42,94,61,0,0,0,42,0,35,17,59,0,32,21
12345678Z,COLNAME,CIVI,894,6,900,66,0,0,19,53,0,0,0,40,0,22,20,57,0,35,32,57,0,0,19,52,0,32,16,0,0,36,82,58,0,0,0,40,0,31,14,65,0,28,20
12345678Z,COLNAME,CIVI,1020,0,1020,64,0,0,21,65,0,0,0,56,0,35,21,63,0,37,35,67,0,0,19,60,0,36,16,0,0,44,88,60,0,0,0,46,0,41,19,71,0,36,20
12345678Z,COLNAME,CIVI,938,0,938,74,0,0,19,71,0,0,0,54,0,23,20,57,0,30,35,53,0,0,20,62,0,34,16,0,0,42,87,59,0,0,0,40,0,25,12,58,0,28,19
