PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal,OFC_PP,OFC_PR,OFC_OR,OFC_TW,MC_PP,MC_PR,MC_OR,MC_TW,SC|TAVE|TAMS_PP,SC|TAVE|TAMS_PR,SC|TAVE|TAMS_OR,SC|TAVE|TAMS_TW,VDT_PP,VDT_PR,VDT_OR,VDT_TW,AI|N_PP,AI|N_PR,AI|N_OR,AI|N_TW,DIP|ESAR_PP,DIP|ESAR_PR,DIP|ESAR_OR,DIP|ESAR_TW,PI_PP,PI_PR,PI_OR,PI_TW,CN_PP,CN_PR,CN_OR,CN_TW,TSS_PP,TSS_PR,TSS_OR,TSS_TW,PP_PP,PP_PR,PP_OR,PP_TW,EPD_PP,EPD_PR,EPD_OR,EPD_TW
12345678Z,COLNAME,ET,803,0,803,nan,37,0,20,41,0,0,0,68,38,0,22,48,28,0,0,41,0,0,0,46,28,0,18,0,0,44,94,45,0,32,0,nan,0,39,0,0,0,0,37,56,0,0,21
12345678Z,COLNAME,ET,1006,0,1006,63,41,0,23,58,0,0,0,50,40,0,22,53,32,0,0,48,0,0,0,66,38,0,19,0,0,40,91,69,0,39,0,65,0,42,0,0,0,0,38,46,0,0,23
12345678Z,COLNAME,ET,1117,0,1117,80,42,0,23,62,0,0,0,74,40,0,24,50,35,0,0,51,0,0,0,71,40,0,23,0,0,47,97,73,0,40,0,73,0,43,0,0,0,0,43,63,0,0,23
12345678Z,COLNAME,ET,987,0,987,70,37,0,22,60,0,0,0,69,34,0,21,49,22,0,0,49,0,0,0,44,25,0,20,0,0,45,95,66,0,31,0,69,0,37,0,0,0,0,39,62,0,0,21
12345678Z,COLNAME,ET,974,0,974,62,37,0,22,50,0,0,0,52,36,0,19,47,35,0,0,63,0,0,0,46,32,0,23,0,0,45,90,66,0,38,0,62,0,39,0,0,0,0,36,52,0,0,22
12345678Z,COLNAME,ET,1006,0,1006,56,40,0,23,59,0,0,0,52,42,0,23,52,28,0,0,66,0,0,0,52,34,0,23,0,0,45,95,72,0,34,0,51,0,40,0,0,0,0,44,54,0,0,21
12345678Z,COLNAME,ET,849,0,849,59,33,0,20,40,0,0,0,49,33,0,19,44,28,0,0,27,0,0,0,40,25,0,18,0,0,40,90,60,0,36,0,49,0,41,0,0,0,0,36,41,0,0,21
12345678Z,COLNAME,ET,932,0,932,69,34,0,20,45,0,0,0,63,30,0,20,49,26,0,0,46,0,0,0,58,26,0,17,0,0,48,95,61,0,33,0,54,0,37,0,0,0,0,36,44,0,0,21
12345678Z,COLNAME,ET,893,7,900,51,34,0,20,53,0,0,0,53,32,0,21,42,22,0,0,54,0,0,0,40,25,0,18,0,0,43,95,56,0,39,0,55,0,35,0,0,0,0,35,48,0,0,22
12345678Z,COLNAME,ET,1082,0,1082,63,42,0,23,75,0,0,0,71,25,0,24,60,40,0,0,56,0,0,0,64,35,0,23,0,0,46,96,72,0,33,0,66,0,45,0,0,0,0,41,59,0,0,23
12345678Z,COLNAME,ET,943,0,943,65,34,0,21,49,0,0,0,53,42,0,23,44,25,0,0,40,0,0,0,55,22,0,20,0,0,43,95,64,0,34,0,66,0,37,0,0,0,0,36,55,0,0,20
