PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal
12345678Z,COLNAME,CIVI,823,2,825
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,1050,0,1050
12345678Z,COLNAME,CIVI,871,0,871
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,797,0,797
12345678Z,COLNAME,CIVI,1013,0,1013
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,943,0,943
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,854,0,854
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,790,0,790
12345678Z,COLNAME,CIVI,1012,0,1012
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,954,0,954
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,1037,0,1037
12345678Z,COLNAME,CIVI,932,0,932
12345678Z,COLNAME,CIVI,1007,0,1007
12345678Z,COLNAME,CIVI,1061,0,1061
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,895,5,900
12345678Z,COLNAME,CIVI,836,0,836
12345678Z,COLNAME,CIVI,940,0,940
12345678Z,COLNAME,CIVI,917,0,917
12345678Z,COLNAME,CIVI,864,0,864
12345678Z,COLNAME,CIVI,973,0,973
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,720,0,720
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,826,0,826
12345678Z,COLNAME,CIVI,860,0,860
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,762,0,762
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,890,10,900
12345678Z,COLNAME,CIVI,807,0,807
12345678Z,COLNAME,CIVI,824,1,825
12345678Z,COLNAME,CIVI,897,3,900
12345678Z,COLNAME,CIVI,901,0,901
12345678Z,COLNAME,CIVI,818,7,825
12345678Z,COLNAME,CIVI,927,0,927
12345678Z,COLNAME,CIVI,nan,nan,nan
12345678Z,COLNAME,CIVI,895,5,900
