PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal
12345678Z,COLNAME,COMP,891,9,900
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,924,0,924
12345678Z,COLNAME,COMP,969,0,969
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,920,0,920
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,832,0,832
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,960,0,960
12345678Z,COLNAME,COMP,957,0,957
12345678Z,COLNAME,COMP,866,0,866
12345678Z,COLNAME,COMP,862,0,862
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,776,0,776
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,950,0,950
12345678Z,COLNAME,COMP,953,0,953
12345678Z,COLNAME,COMP,1062,0,1062
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,835,0,835
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,838,0,838
12345678Z,COLNAME,COMP,942,0,942
12345678Z,COLNAME,COMP,802,0,802
12345678Z,COLNAME,COMP,918,0,918
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,883,0,883
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,836,0,836
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,927,0,927
12345678Z,COLNAME,COMP,934,0,934
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,855,0,855
12345678Z,COLNAME,COMP,1001,0,1001
12345678Z,COLNAME,COMP,904,0,904
12345678Z,COLNAME,COMP,937,0,937
12345678Z,COLNAME,COMP,969,0,969
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,883,0,883
12345678Z,COLNAME,COMP,846,0,846
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,861,0,861
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,916,0,916
12345678Z,COLNAME,COMP,920,0,920
12345678Z,COLNAME,COMP,916,0,916
12345678Z,COLNAME,COMP,880,0,880
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,946,0,946
12345678Z,COLNAME,COMP,853,0,853
12345678Z,COLNAME,COMP,948,0,948
12345678Z,COLNAME,COMP,934,0,934
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,871,0,871
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,989,0,989
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,968,0,968
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,814,0,814
12345678Z,COLNAME,COMP,735,0,735
12345678Z,COLNAME,COMP,949,0,949
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,808,0,808
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,930,0,930
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,795,0,795
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,847,0,847
12345678Z,COLNAME,COMP,993,0,993
12345678Z,COLNAME,COMP,nan,nan,nan
12345678Z,COLNAME,COMP,nan,nan,nan
