PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,882,0,882
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,888,0,888
12345678Z,COLNAME,ET,972,0,972
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,822,3,825
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,921,0,921
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,782,0,782
12345678Z,COLNAME,ET,928,0,928
12345678Z,COLNAME,ET,859,0,859
12345678Z,COLNAME,ET,828,0,828
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,896,4,900
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,950,0,950
12345678Z,COLNAME,ET,1035,0,1035
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,828,0,828
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,867,0,867
12345678Z,COLNAME,ET,782,0,782
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,879,0,879
12345678Z,COLNAME,ET,946,0,946
12345678Z,COLNAME,ET,892,8,900
12345678Z,COLNAME,ET,759,0,759
12345678Z,COLNAME,ET,787,0,787
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,966,0,966
12345678Z,COLNAME,ET,756,0,756
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,908,0,908
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,987,0,987
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,865,0,865
12345678Z,COLNAME,ET,1005,0,1005
12345678Z,COLNAME,ET,936,0,936
12345678Z,COLNAME,ET,nan,nan,nan
12345678Z,COLNAME,ET,1023,0,1023
12345678Z,COLNAME,ET,865,0,865
12345678Z,COLNAME,ET,973,0,973
12345678Z,COLNAME,ET,916,0,916
12345678Z,COLNAME,ET,771,0,771
12345678Z,COLNAME,ET,805,0,805
12345678Z,COLNAME,ET,855,0,855
