PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal
12345678Z,COLNAME,INST,955,0,955
12345678Z,COLNAME,INST,1029,0,1029
12345678Z,COLNAME,INST,1053,0,1053
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,896,4,900
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,879,0,879
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,990,0,990
12345678Z,COLNAME,INST,986,0,986
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,934,0,934
12345678Z,COLNAME,INST,944,0,944
12345678Z,COLNAME,INST,967,0,967
12345678Z,COLNAME,INST,925,0,925
12345678Z,COLNAME,INST,871,0,871
12345678Z,COLNAME,INST,968,0,968
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,924,0,924
12345678Z,COLNAME,INST,895,5,900
12345678Z,COLNAME,INST,910,0,910
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,1020,0,1020
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,888,0,888
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,926,0,926
12345678Z,COLNAME,INST,902,0,902
12345678Z,COLNAME,INST,909,0,909
12345678Z,COLNAME,INST,973,0,973
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,874,0,874
12345678Z,COLNAME,INST,868,0,868
12345678Z,COLNAME,INST,1016,0,1016
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,876,0,876
12345678Z,COLNAME,INST,946,0,946
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,975,0,975
12345678Z,COLNAME,INST,974,0,974
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,983,0,983
12345678Z,COLNAME,INST,899,1,900
12345678Z,COLNAME,INST,792,0,792
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,921,0,921
12345678Z,COLNAME,INST,891,9,900
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,936,0,936
12345678Z,COLNAME,INST,930,0,930
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,1021,0,1021
12345678Z,COLNAME,INST,879,0,879
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,880,0,880
12345678Z,COLNAME,INST,747,3,750
12345678Z,COLNAME,INST,894,6,900
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,861,0,861
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,nan,nan,nan
12345678Z,COLNAME,INST,823,2,825
12345678Z,COLNAME,INST,839,0,839
