PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal
12345678Z,COLNAME,IT,979,0,979
12345678Z,COLNAME,IT,804,0,804
12345678Z,COLNAME,IT,919,0,919
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,824,1,825
12345678Z,COLNAME,IT,1012,0,1012
12345678Z,COLNAME,IT,792,0,792
12345678Z,COLNAME,IT,847,0,847
12345678Z,COLNAME,IT,961,0,961
12345678Z,COLNAME,IT,887,0,887
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,992,0,992
12345678Z,COLNAME,IT,758,0,758
12345678Z,COLNAME,IT,868,0,868
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,922,0,922
12345678Z,COLNAME,IT,830,0,830
12345678Z,COLNAME,IT,808,0,808
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,812,0,812
12345678Z,COLNAME,IT,853,0,853
12345678Z,COLNAME,IT,1032,0,1032
12345678Z,COLNAME,IT,913,0,913
12345678Z,COLNAME,IT,1098,0,1098
12345678Z,COLNAME,IT,976,0,976
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,862,0,862
12345678Z,COLNAME,IT,893,7,900
12345678Z,COLNAME,IT,908,0,908
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,788,0,788
12345678Z,COLNAME,IT,885,0,885
12345678Z,COLNAME,IT,985,0,985
12345678Z,COLNAME,IT,865,0,865
12345678Z,COLNAME,IT,827,0,827
12345678Z,COLNAME,IT,908,0,908
12345678Z,COLNAME,IT,928,0,928
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,988,0,988
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,837,0,837
12345678Z,COLNAME,IT,977,0,977
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,939,0,939
12345678Z,COLNAME,IT,1040,0,1040
12345678Z,COLNAME,IT,889,0,889
12345678Z,COLNAME,IT,1030,0,1030
12345678Z,COLNAME,IT,988,0,988
12345678Z,COLNAME,IT,812,0,812
12345678Z,COLNAME,IT,883,0,883
12345678Z,COLNAME,IT,846,0,846
12345678Z,COLNAME,IT,998,0,998
12345678Z,COLNAME,IT,899,1,900
12345678Z,COLNAME,IT,906,0,906
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,989,0,989
12345678Z,COLNAME,IT,795,0,795
12345678Z,COLNAME,IT,1037,0,1037
12345678Z,COLNAME,IT,908,0,908
12345678Z,COLNAME,IT,954,0,954
12345678Z,COLNAME,IT,905,0,905
12345678Z,COLNAME,IT,877,0,877
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,916,0,916
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,875,0,875
12345678Z,COLNAME,IT,993,0,993
12345678Z,COLNAME,IT,850,0,850
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,890,10,900
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,763,0,763
12345678Z,COLNAME,IT,968,0,968
12345678Z,COLNAME,IT,842,0,842
12345678Z,COLNAME,IT,796,0,796
12345678Z,COLNAME,IT,911,0,911
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,826,0,826
12345678Z,COLNAME,IT,921,0,921
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,911,0,911
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,796,0,796
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,884,0,884
12345678Z,COLNAME,IT,735,0,735
12345678Z,COLNAME,IT,771,0,771
12345678Z,COLNAME,IT,1033,0,1033
12345678Z,COLNAME,IT,929,0,929
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,843,0,843
12345678Z,COLNAME,IT,913,0,913
12345678Z,COLNAME,IT,1011,0,1011
12345678Z,COLNAME,IT,958,0,958
12345678Z,COLNAME,IT,846,0,846
12345678Z,COLNAME,IT,805,0,805
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,989,0,989
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,884,0,884
12345678Z,COLNAME,IT,947,0,947
12345678Z,COLNAME,IT,844,0,844
12345678Z,COLNAME,IT,976,0,976
12345678Z,COLNAME,IT,872,0,872
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,856,0,856
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,817,8,825
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,976,0,976
12345678Z,COLNAME,IT,1011,0,1011
12345678Z,COLNAME,IT,855,0,855
12345678Z,COLNAME,IT,988,0,988
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,930,0,930
12345678Z,COLNAME,IT,905,0,905
12345678Z,COLNAME,IT,897,3,900
12345678Z,COLNAME,IT,967,0,967
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,nan,nan,nan
12345678Z,COLNAME,IT,995,0,995
12345678Z,COLNAME,IT,953,0,953
12345678Z,COLNAME,IT,871,0,871
12345678Z,COLNAME,IT,910,0,910
12345678Z,COLNAME,IT,886,0,886
