PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal
12345678Z,COLNAME,MECH,876,0,876
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,952,0,952
12345678Z,COLNAME,MECH,864,0,864
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,838,0,838
12345678Z,COLNAME,MECH,1050,0,1050
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,835,0,835
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,829,0,829
12345678Z,COLNAME,MECH,867,0,867
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,860,0,860
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,896,4,900
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,897,3,900
12345678Z,COLNAME,MECH,890,10,900
12345678Z,COLNAME,MECH,890,10,900
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,985,0,985
12345678Z,COLNAME,MECH,1117,0,1117
12345678Z,COLNAME,MECH,1016,0,1016
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,927,0,927
12345678Z,COLNAME,MECH,949,0,949
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,1037,0,1037
12345678Z,COLNAME,MECH,1006,0,1006
12345678Z,COLNAME,MECH,955,0,955
12345678Z,COLNAME,MECH,953,0,953
12345678Z,COLNAME,MECH,1063,0,1063
12345678Z,COLNAME,MECH,840,0,840
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,1124,0,1124
12345678Z,COLNAME,MECH,1046,0,1046
12345678Z,COLNAME,MECH,1160,0,1160
12345678Z,COLNAME,MECH,1020,0,1020
12345678Z,COLNAME,MECH,1058,0,1058
12345678Z,COLNAME,MECH,1064,0,1064
12345678Z,COLNAME,MECH,939,0,939
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,1112,0,1112
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,976,0,976
12345678Z,COLNAME,MECH,928,0,928
12345678Z,COLNAME,MECH,924,0,924
12345678Z,COLNAME,MECH,962,0,962
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,900,0,900
12345678Z,COLNAME,MECH,1115,0,1115
12345678Z,COLNAME,MECH,907,0,907
12345678Z,COLNAME,MECH,927,0,927
12345678Z,COLNAME,MECH,910,0,910
12345678Z,COLNAME,MECH,1006,0,1006
12345678Z,COLNAME,MECH,1004,0,1004
12345678Z,COLNAME,MECH,1002,0,1002
12345678Z,COLNAME,MECH,1011,0,1011
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,944,0,944
12345678Z,COLNAME,MECH,1153,0,1153
12345678Z,COLNAME,MECH,936,0,936
12345678Z,COLNAME,MECH,948,0,948
12345678Z,COLNAME,MECH,917,0,917
12345678Z,COLNAME,MECH,1074,0,1074
12345678Z,COLNAME,MECH,1160,0,1160
12345678Z,COLNAME,MECH,856,0,856
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,880,0,880
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,1014,0,1014
12345678Z,COLNAME,MECH,848,0,848
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,937,0,937
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,923,0,923
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,1131,0,1131
12345678Z,COLNAME,MECH,942,0,942
12345678Z,COLNAME,MECH,817,8,825
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,996,0,996
12345678Z,COLNAME,MECH,971,0,971
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,898,2,900
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,898,2,900
12345678Z,COLNAME,MECH,891,9,900
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,933,0,933
12345678Z,COLNAME,MECH,1007,0,1007
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,1056,0,1056
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,943,0,943
12345678Z,COLNAME,MECH,891,9,900
12345678Z,COLNAME,MECH,946,0,946
12345678Z,COLNAME,MECH,813,0,813
12345678Z,COLNAME,MECH,840,0,840
12345678Z,COLNAME,MECH,952,0,952
12345678Z,COLNAME,MECH,982,0,982
12345678Z,COLNAME,MECH,1066,0,1066
12345678Z,COLNAME,MECH,1034,0,1034
12345678Z,COLNAME,MECH,1067,0,1067
12345678Z,COLNAME,MECH,895,5,900
12345678Z,COLNAME,MECH,836,0,836
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,929,0,929
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,904,0,904
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,877,0,877
12345678Z,COLNAME,MECH,882,0,882
12345678Z,COLNAME,MECH,891,9,900
12345678Z,COLNAME,MECH,1050,0,1050
12345678Z,COLNAME,MECH,924,0,924
12345678Z,COLNAME,MECH,1128,0,1128
12345678Z,COLNAME,MECH,910,0,910
12345678Z,COLNAME,MECH,868,0,868
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,949,0,949
12345678Z,COLNAME,MECH,755,0,755
12345678Z,COLNAME,MECH,1031,0,1031
12345678Z,COLNAME,MECH,825,0,825
12345678Z,COLNAME,MECH,889,0,889
12345678Z,COLNAME,MECH,962,0,962
12345678Z,COLNAME,MECH,971,0,971
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,911,0,911
12345678Z,COLNAME,MECH,874,0,874
12345678Z,COLNAME,MECH,961,0,961
12345678Z,COLNAME,MECH,1017,0,1017
12345678Z,COLNAME,MECH,1044,0,1044
12345678Z,COLNAME,MECH,960,0,960
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,1072,0,1072
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,909,0,909
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,1041,0,1041
12345678Z,COLNAME,MECH,956,0,956
12345678Z,COLNAME,MECH,832,0,832
12345678Z,COLNAME,MECH,1005,0,1005
12345678Z,COLNAME,MECH,896,4,900
12345678Z,COLNAME,MECH,1180,0,1180
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,853,0,853
12345678Z,COLNAME,MECH,915,0,915
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,858,0,858
12345678Z,COLNAME,MECH,956,0,956
12345678Z,COLNAME,MECH,921,0,921
12345678Z,COLNAME,MECH,862,0,862
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,868,0,868
12345678Z,COLNAME,MECH,893,7,900
12345678Z,COLNAME,MECH,813,0,813
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,841,0,841
12345678Z,COLNAME,MECH,1012,0,1012
12345678Z,COLNAME,MECH,988,0,988
12345678Z,COLNAME,MECH,973,0,973
12345678Z,COLNAME,MECH,958,0,958
12345678Z,COLNAME,MECH,992,0,992
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,1019,0,1019
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,1025,0,1025
12345678Z,COLNAME,MECH,1036,0,1036
12345678Z,COLNAME,MECH,1043,0,1043
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,1038,0,1038
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,910,0,910
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,1123,0,1123
12345678Z,COLNAME,MECH,816,9,825
12345678Z,COLNAME,MECH,933,0,933
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,943,0,943
12345678Z,COLNAME,MECH,913,0,913
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,901,0,901
12345678Z,COLNAME,MECH,1035,0,1035
12345678Z,COLNAME,MECH,856,0,856
12345678Z,COLNAME,MECH,819,6,825
12345678Z,COLNAME,MECH,936,0,936
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,910,0,910
12345678Z,COLNAME,MECH,948,0,948
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,927,0,927
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,953,0,953
12345678Z,COLNAME,MECH,1014,0,1014
12345678Z,COLNAME,MECH,1024,0,1024
12345678Z,COLNAME,MECH,1059,0,1059
12345678Z,COLNAME,MECH,814,0,814
12345678Z,COLNAME,MECH,866,0,866
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,807,0,807
12345678Z,COLNAME,MECH,813,0,813
12345678Z,COLNAME,MECH,884,0,884
12345678Z,COLNAME,MECH,860,0,860
12345678Z,COLNAME,MECH,972,0,972
12345678Z,COLNAME,MECH,883,0,883
12345678Z,COLNAME,MECH,nan,nan,nan
12345678Z,COLNAME,MECH,nan,nan,nan
